Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Japan,2024,DDoS,Education,17.7,350486,Nation-state,Unpatched Software,Antivirus,29
India,2021,DDoS,IT,19.96,226586,Nation-state,Zero-day,Firewall,21
China,2022,Man-in-the-Middle,Banking,3.79,74447,Hacker Group,Weak Passwords,Antivirus,20
Japan,2021,Phishing,Education,7.57,224012,Insider,Social Engineering,AI-based Detection,6
France,2018,Ransomware,Banking,6.83,173459,Nation-state,Weak Passwords,Firewall,18
India,2019,Ransomware,Education,14.56,218889,Hacker Group,Zero-day,VPN,21
France,2015,Phishing,IT,23.69,438565,Nation-state,Weak Passwords,Antivirus,19
Australia,2021,Malware,Telecommunications,1.93,241344,Hacker Group,Weak Passwords,Firewall,7
Japan,2017,Phishing,Retail,9.43,8561,Insider,Social Engineering,VPN,3
USA,2018,Man-in-the-Middle,Healthcare,3.47,230733,Nation-state,Social Engineering,Antivirus,7
Brazil,2022,Phishing,Education,16.44,503144,Nation-state,Zero-day,Antivirus,35
France,2018,Malware,IT,11.99,598890,Hacker Group,Unpatched Software,Encryption,28
UK,2018,Phishing,Government,5.69,293670,Insider,Unpatched Software,Firewall,2
UK,2017,Malware,IT,7.92,212155,Hacker Group,Weak Passwords,Antivirus,18
Japan,2024,Ransomware,Retail,6.01,255122,Nation-state,Unpatched Software,Antivirus,17
China,2024,Malware,Government,6.76,106449,Insider,Zero-day,Encryption,10
France,2022,Malware,Retail,7.93,283191,Hacker Group,Weak Passwords,Encryption,14
Germany,2021,Phishing,Banking,20.14,227533,Hacker Group,Social Engineering,VPN,48
China,2020,Ransomware,Government,15.33,257879,Unknown,Unpatched Software,Antivirus,44
China,2023,Phishing,Government,2.68,290497,Hacker Group,Zero-day,AI-based Detection,13
Brazil,2017,Man-in-the-Middle,Banking,93.76,716091,Hacker Group,Unpatched Software,Encryption,59
UK,2022,Phishing,Banking,82.3,686074,Hacker Group,Weak Passwords,AI-based Detection,64
China,2024,Malware,Retail,13.18,435672,Hacker Group,Zero-day,Encryption,42
India,2023,Ransomware,Banking,12.92,474305,Hacker Group,Unpatched Software,VPN,32
USA,2024,Phishing,Banking,17.41,471891,Nation-state,Social Engineering,Encryption,21
UK,2015,Ransomware,IT,14.4,498675,Insider,Unpatched Software,Encryption,33
India,2019,Phishing,Government,1.27,181816,Unknown,Social Engineering,Firewall,14
India,2020,Ransomware,IT,1.65,292691,Hacker Group,Unpatched Software,Antivirus,16
USA,2019,DDoS,Education,1.93,208745,Hacker Group,Zero-day,Encryption,22
Brazil,2018,SQL Injection,Healthcare,15.07,463422,Insider,Social Engineering,AI-based Detection,27
USA,2019,Ransomware,Banking,10.07,356298,Unknown,Weak Passwords,Antivirus,12
Japan,2020,Phishing,Retail,14.8,423709,Hacker Group,Weak Passwords,Encryption,17
Germany,2018,SQL Injection,Retail,2.8,34418,Unknown,Social Engineering,Encryption,22
UK,2021,Ransomware,Banking,4.8,196750,Nation-state,Unpatched Software,Firewall,11
China,2022,SQL Injection,IT,7.15,165006,Insider,Zero-day,AI-based Detection,8
Germany,2024,Phishing,Telecommunications,1.88,238320,Hacker Group,Unpatched Software,Antivirus,19
Germany,2022,Malware,Retail,13.22,454167,Unknown,Unpatched Software,Firewall,16
Brazil,2024,DDoS,Government,40.95,737669,Hacker Group,Unpatched Software,Encryption,29
Germany,2020,Ransomware,Banking,16.36,323478,Hacker Group,Weak Passwords,Firewall,32
Germany,2016,Malware,Government,19.84,423020,Unknown,Social Engineering,Firewall,43
Australia,2020,Malware,Telecommunications,6.54,233880,Hacker Group,Unpatched Software,Firewall,12
China,2024,DDoS,Retail,5.44,203081,Unknown,Social Engineering,Antivirus,22
France,2015,Ransomware,Telecommunications,5.45,202310,Nation-state,Zero-day,VPN,4
Germany,2020,Malware,Banking,17.79,559761,Unknown,Social Engineering,AI-based Detection,41
USA,2023,Ransomware,Banking,6.35,187633,Unknown,Unpatched Software,Encryption,23
India,2022,Ransomware,Healthcare,9.76,277040,Hacker Group,Social Engineering,Antivirus,18
Japan,2018,Phishing,Telecommunications,9.21,196433,Nation-state,Social Engineering,Firewall,24
Australia,2021,SQL Injection,Telecommunications,18.76,596711,Hacker Group,Social Engineering,VPN,40
USA,2016,Malware,Retail,1.04,231495,Insider,Unpatched Software,Firewall,4
Russia,2017,Malware,Education,19.31,401977,Nation-state,Social Engineering,Antivirus,18
France,2021,DDoS,Healthcare,49.76,979006,Hacker Group,Zero-day,VPN,69
China,2022,SQL Injection,Banking,2.64,241902,Hacker Group,Social Engineering,Firewall,15
France,2015,Phishing,Retail,5.03,197910,Hacker Group,Weak Passwords,Antivirus,4
India,2016,Man-in-the-Middle,Education,9.72,114772,Nation-state,Zero-day,Antivirus,22
India,2020,Phishing,Telecommunications,18.19,300829,Unknown,Social Engineering,VPN,17
India,2022,SQL Injection,Government,11.36,436388,Nation-state,Unpatched Software,Firewall,24
USA,2021,Phishing,Education,75.39,713218,Nation-state,Social Engineering,Firewall,36
France,2015,Phishing,Telecommunications,19.85,465961,Unknown,Weak Passwords,Firewall,47
Russia,2023,Phishing,Education,28.97,447621,Nation-state,Unpatched Software,VPN,20
UK,2022,Malware,IT,17.28,439297,Insider,Social Engineering,Encryption,31
India,2017,DDoS,Telecommunications,88.93,639417,Nation-state,Unpatched Software,Encryption,63
China,2020,Man-in-the-Middle,Retail,17.8,323638,Hacker Group,Unpatched Software,VPN,12
Germany,2018,Phishing,Banking,21.32,469385,Unknown,Social Engineering,Encryption,32
USA,2015,DDoS,Healthcare,28.81,407745,Hacker Group,Social Engineering,VPN,36
USA,2018,Phishing,Education,18.32,506593,Hacker Group,Zero-day,Antivirus,24
China,2020,SQL Injection,Banking,35.79,830040,Unknown,Unpatched Software,VPN,49
UK,2024,Malware,IT,5.1,171095,Nation-state,Social Engineering,Encryption,4
Russia,2019,DDoS,Banking,20.41,565736,Hacker Group,Weak Passwords,VPN,28
USA,2024,DDoS,Healthcare,37.55,801612,Nation-state,Zero-day,Encryption,24
Australia,2020,Phishing,Retail,9.23,66457,Hacker Group,Social Engineering,Antivirus,22
Australia,2017,Phishing,Retail,7.73,176750,Unknown,Unpatched Software,AI-based Detection,12
China,2018,SQL Injection,Healthcare,5.05,134911,Unknown,Social Engineering,VPN,19
India,2020,Man-in-the-Middle,Banking,4.78,176446,Nation-state,Social Engineering,Firewall,10
USA,2019,Malware,Education,3.15,289099,Unknown,Social Engineering,AI-based Detection,3
France,2015,Phishing,Banking,4.1,155296,Insider,Unpatched Software,Firewall,18
India,2022,DDoS,Retail,1.66,20765,Insider,Social Engineering,Antivirus,6
UK,2021,Man-in-the-Middle,Education,0.95,84111,Nation-state,Zero-day,VPN,6
Germany,2015,Man-in-the-Middle,Banking,10.4,516758,Hacker Group,Unpatched Software,Antivirus,37
Australia,2024,DDoS,Education,11.65,441486,Insider,Unpatched Software,VPN,24
Brazil,2022,Ransomware,Government,15.84,521417,Hacker Group,Zero-day,Firewall,40
Brazil,2015,DDoS,Healthcare,14.57,465323,Insider,Social Engineering,VPN,40
Germany,2024,DDoS,Retail,3.07,246396,Unknown,Weak Passwords,Encryption,13
UK,2017,Malware,Government,14.26,224936,Nation-state,Unpatched Software,VPN,28
Japan,2021,Ransomware,Government,14.95,356084,Hacker Group,Weak Passwords,VPN,45
Brazil,2018,Phishing,Telecommunications,18.28,223490,Hacker Group,Social Engineering,Antivirus,17
India,2016,Malware,Government,28.4,308511,Hacker Group,Weak Passwords,Firewall,35
Brazil,2022,SQL Injection,Government,18.53,529103,Hacker Group,Weak Passwords,Encryption,31
UK,2016,DDoS,Retail,7.0,52065,Unknown,Unpatched Software,Firewall,2
France,2021,DDoS,Education,1.48,79903,Hacker Group,Weak Passwords,AI-based Detection,3
France,2018,Malware,Retail,51.46,771745,Insider,Unpatched Software,AI-based Detection,69
Germany,2015,Ransomware,Education,3.31,74384,Hacker Group,Social Engineering,AI-based Detection,5
China,2020,DDoS,Retail,12.78,433997,Unknown,Unpatched Software,Firewall,42
Russia,2019,Phishing,Healthcare,15.3,236333,Unknown,Social Engineering,Firewall,24
Germany,2019,Ransomware,Government,2.01,261916,Unknown,Weak Passwords,Firewall,22
Brazil,2016,Malware,Government,22.47,277706,Unknown,Zero-day,VPN,40
China,2019,DDoS,Government,4.38,227024,Unknown,Unpatched Software,VPN,10
USA,2021,DDoS,Banking,18.13,537167,Hacker Group,Social Engineering,Encryption,31
France,2016,Malware,Healthcare,2.78,255040,Unknown,Social Engineering,Encryption,2
USA,2017,Phishing,Banking,10.56,533136,Hacker Group,Weak Passwords,Encryption,18
UK,2022,Phishing,Government,11.5,536260,Hacker Group,Zero-day,Firewall,19
India,2021,Man-in-the-Middle,Healthcare,15.96,267421,Hacker Group,Unpatched Software,Antivirus,12
Japan,2022,DDoS,Government,42.02,799801,Hacker Group,Zero-day,Encryption,58
Brazil,2018,Malware,Banking,17.49,434721,Hacker Group,Social Engineering,Encryption,45
UK,2023,Ransomware,IT,9.28,244191,Insider,Social Engineering,VPN,13
France,2023,DDoS,IT,4.14,44229,Nation-state,Social Engineering,Antivirus,2
India,2020,Malware,IT,8.83,131907,Hacker Group,Zero-day,AI-based Detection,21
Brazil,2020,DDoS,Government,17.77,267953,Unknown,Zero-day,AI-based Detection,25
UK,2015,Malware,IT,17.14,354401,Hacker Group,Unpatched Software,Firewall,23
UK,2024,DDoS,Telecommunications,4.57,64652,Unknown,Weak Passwords,AI-based Detection,13
Brazil,2015,Phishing,Telecommunications,12.24,412660,Unknown,Social Engineering,Encryption,18
USA,2023,DDoS,Healthcare,18.73,244033,Unknown,Social Engineering,Firewall,20
USA,2020,Man-in-the-Middle,IT,6.76,146801,Insider,Unpatched Software,Firewall,13
France,2015,DDoS,Telecommunications,19.27,339180,Hacker Group,Unpatched Software,Antivirus,32
Australia,2022,Ransomware,Banking,24.86,553254,Unknown,Unpatched Software,Firewall,28
USA,2024,Phishing,Banking,17.08,249032,Unknown,Weak Passwords,VPN,38
China,2023,DDoS,Healthcare,8.06,120238,Unknown,Unpatched Software,Antivirus,12
UK,2017,Malware,Government,3.58,109805,Nation-state,Zero-day,Encryption,13
UK,2024,SQL Injection,Healthcare,16.82,222525,Hacker Group,Weak Passwords,AI-based Detection,34
Japan,2024,SQL Injection,Healthcare,9.99,199898,Hacker Group,Zero-day,Antivirus,19
Brazil,2022,Ransomware,Government,10.84,364826,Hacker Group,Zero-day,AI-based Detection,20
China,2019,DDoS,IT,11.4,549833,Nation-state,Social Engineering,Encryption,17
China,2017,Ransomware,Government,28.61,460467,Unknown,Social Engineering,Firewall,42
Japan,2019,Phishing,Banking,8.03,280973,Insider,Social Engineering,VPN,3
China,2024,Malware,Telecommunications,18.74,484246,Hacker Group,Social Engineering,Antivirus,21
India,2015,Malware,Healthcare,41.39,747873,Hacker Group,Weak Passwords,Antivirus,45
Russia,2019,Phishing,Banking,17.73,274297,Unknown,Zero-day,Antivirus,42
Brazil,2023,Ransomware,Healthcare,61.76,767985,Insider,Unpatched Software,AI-based Detection,37
India,2017,DDoS,Government,5.36,267778,Nation-state,Zero-day,Encryption,5
UK,2023,Phishing,Telecommunications,3.24,194240,Hacker Group,Social Engineering,VPN,17
China,2021,DDoS,IT,17.84,211580,Unknown,Zero-day,Antivirus,25
UK,2023,Phishing,Education,15.74,404757,Unknown,Unpatched Software,Encryption,46
Japan,2023,Malware,Retail,3.27,230576,Unknown,Unpatched Software,Antivirus,19
India,2017,Ransomware,Retail,9.34,219022,Insider,Social Engineering,AI-based Detection,10
Brazil,2019,Ransomware,Banking,26.26,558542,Hacker Group,Weak Passwords,Antivirus,14
France,2018,Ransomware,Government,6.76,294406,Hacker Group,Social Engineering,Antivirus,5
Brazil,2015,SQL Injection,Healthcare,0.98,133734,Hacker Group,Zero-day,Antivirus,24
Brazil,2021,Phishing,Healthcare,19.82,585880,Nation-state,Zero-day,AI-based Detection,28
India,2024,Man-in-the-Middle,Education,99.14,777515,Unknown,Social Engineering,AI-based Detection,36
UK,2018,SQL Injection,Banking,76.59,621659,Nation-state,Weak Passwords,Encryption,57
USA,2024,Phishing,Government,6.88,230198,Insider,Weak Passwords,Antivirus,9
USA,2016,Phishing,Telecommunications,8.63,138490,Nation-state,Zero-day,Firewall,17
India,2023,Phishing,Retail,3.96,21466,Unknown,Unpatched Software,Firewall,3
France,2017,Phishing,IT,17.52,300974,Nation-state,Unpatched Software,VPN,39
Russia,2022,Phishing,Retail,19.94,221818,Unknown,Weak Passwords,Antivirus,12
China,2024,DDoS,Banking,17.76,399564,Nation-state,Social Engineering,Antivirus,25
UK,2015,Ransomware,IT,0.75,292585,Nation-state,Unpatched Software,Firewall,21
Japan,2016,DDoS,Retail,3.89,253701,Nation-state,Unpatched Software,Firewall,12
India,2023,Ransomware,Retail,4.56,279012,Hacker Group,Social Engineering,Antivirus,9
China,2020,SQL Injection,Telecommunications,11.16,469151,Nation-state,Unpatched Software,Antivirus,34
Russia,2024,Man-in-the-Middle,Telecommunications,60.73,690784,Hacker Group,Unpatched Software,VPN,51
UK,2020,Phishing,Banking,13.23,584648,Unknown,Weak Passwords,Firewall,38
Brazil,2019,Phishing,Banking,0.62,278353,Unknown,Social Engineering,VPN,16
China,2023,Ransomware,Healthcare,7.18,135091,Nation-state,Unpatched Software,AI-based Detection,19
Brazil,2022,SQL Injection,Healthcare,27.43,508275,Unknown,Unpatched Software,Firewall,44
Germany,2024,Ransomware,Telecommunications,5.75,2123,Insider,Zero-day,Encryption,3
China,2021,Man-in-the-Middle,Banking,7.67,21313,Hacker Group,Social Engineering,Firewall,19
Australia,2024,Ransomware,Banking,12.9,366036,Nation-state,Weak Passwords,Antivirus,13
Japan,2017,Ransomware,Healthcare,4.77,256664,Hacker Group,Social Engineering,Antivirus,22
Australia,2018,DDoS,Government,80.19,762663,Hacker Group,Weak Passwords,AI-based Detection,69
Australia,2016,Malware,Banking,12.18,307328,Hacker Group,Weak Passwords,Firewall,23
Australia,2015,Malware,IT,7.71,94961,Nation-state,Weak Passwords,Antivirus,24
USA,2022,Phishing,Telecommunications,3.48,227440,Hacker Group,Weak Passwords,Firewall,4
China,2023,DDoS,Education,12.59,478173,Unknown,Social Engineering,Firewall,32
UK,2024,Man-in-the-Middle,Retail,11.67,348102,Nation-state,Social Engineering,VPN,31
India,2020,Ransomware,Retail,20.59,452852,Insider,Social Engineering,AI-based Detection,35
Russia,2023,Malware,Banking,13.45,568596,Hacker Group,Social Engineering,Firewall,18
UK,2020,DDoS,IT,18.77,342127,Unknown,Zero-day,Antivirus,47
France,2016,DDoS,Government,3.4,235958,Nation-state,Unpatched Software,VPN,16
Germany,2021,Phishing,IT,43.93,699450,Hacker Group,Social Engineering,Antivirus,37
USA,2021,Ransomware,Retail,9.43,213155,Unknown,Weak Passwords,Firewall,7
China,2015,DDoS,Education,8.39,243126,Nation-state,Unpatched Software,VPN,3
USA,2021,DDoS,Banking,71.18,952630,Hacker Group,Social Engineering,Firewall,67
UK,2024,Phishing,Healthcare,12.57,438206,Insider,Weak Passwords,Firewall,41
France,2020,Malware,Telecommunications,16.17,586582,Nation-state,Social Engineering,Antivirus,34
Japan,2021,Phishing,IT,19.27,237998,Nation-state,Social Engineering,AI-based Detection,21
Brazil,2021,DDoS,Healthcare,19.87,370104,Unknown,Zero-day,Antivirus,27
USA,2018,SQL Injection,Government,7.75,224112,Nation-state,Weak Passwords,Firewall,2
Brazil,2024,SQL Injection,Education,8.03,284966,Hacker Group,Zero-day,Encryption,22
Germany,2016,Phishing,IT,65.09,881143,Insider,Weak Passwords,VPN,67
Russia,2017,Phishing,Education,4.78,129089,Unknown,Social Engineering,Firewall,4
Germany,2023,Phishing,Education,10.83,319037,Insider,Unpatched Software,Antivirus,29
India,2016,Man-in-the-Middle,Government,9.41,95187,Nation-state,Zero-day,Firewall,8
Japan,2019,Malware,Banking,19.97,264221,Hacker Group,Social Engineering,Antivirus,23
Australia,2015,Man-in-the-Middle,Banking,8.9,51180,Nation-state,Weak Passwords,Antivirus,19
China,2018,Malware,Banking,10.99,373965,Insider,Unpatched Software,Firewall,40
UK,2024,Phishing,IT,42.21,854475,Hacker Group,Social Engineering,Antivirus,38
China,2016,Man-in-the-Middle,Government,48.45,851024,Unknown,Social Engineering,Antivirus,63
China,2023,Man-in-the-Middle,IT,3.25,165816,Unknown,Social Engineering,Firewall,21
Australia,2023,DDoS,Government,48.23,510226,Nation-state,Social Engineering,VPN,24
France,2023,Man-in-the-Middle,Banking,5.89,59238,Hacker Group,Unpatched Software,Antivirus,18
Germany,2018,SQL Injection,Banking,13.58,449714,Insider,Social Engineering,Encryption,25
Australia,2018,Phishing,Retail,19.33,321989,Insider,Zero-day,VPN,15
USA,2022,SQL Injection,Telecommunications,2.76,291061,Nation-state,Social Engineering,VPN,11
China,2017,Man-in-the-Middle,Education,6.25,140350,Hacker Group,Unpatched Software,VPN,12
Japan,2017,SQL Injection,IT,44.22,835893,Nation-state,Zero-day,Firewall,43
Russia,2020,Ransomware,Government,15.31,478309,Hacker Group,Unpatched Software,Firewall,21
UK,2017,Ransomware,Telecommunications,7.96,141319,Insider,Social Engineering,AI-based Detection,17
Russia,2018,SQL Injection,Banking,55.38,708213,Nation-state,Unpatched Software,Encryption,46
Japan,2023,DDoS,IT,18.94,564184,Hacker Group,Unpatched Software,VPN,36
Japan,2023,Phishing,Telecommunications,23.1,344839,Unknown,Unpatched Software,VPN,16
Australia,2020,Ransomware,Banking,0.64,262616,Nation-state,Social Engineering,Antivirus,9
Brazil,2021,Ransomware,IT,9.05,142582,Nation-state,Social Engineering,Firewall,12
Brazil,2016,Malware,Education,7.45,166599,Hacker Group,Unpatched Software,VPN,3
Japan,2015,Malware,Banking,45.21,935974,Hacker Group,Social Engineering,Firewall,72
China,2017,Phishing,Healthcare,2.19,157358,Insider,Social Engineering,VPN,11
France,2015,Phishing,IT,17.73,552408,Unknown,Unpatched Software,Firewall,15
Russia,2017,SQL Injection,Government,14.43,209053,Nation-state,Social Engineering,AI-based Detection,38
Brazil,2024,Ransomware,IT,1.72,160604,Hacker Group,Weak Passwords,VPN,20
USA,2016,DDoS,Banking,16.37,431452,Hacker Group,Social Engineering,Firewall,44
France,2024,DDoS,IT,16.94,427043,Unknown,Unpatched Software,VPN,26
France,2016,DDoS,Retail,8.07,244543,Hacker Group,Social Engineering,VPN,6
USA,2023,Man-in-the-Middle,Banking,4.36,289721,Hacker Group,Unpatched Software,Firewall,3
China,2024,Ransomware,Education,34.35,587648,Unknown,Unpatched Software,Firewall,52
Japan,2021,Malware,Government,4.75,42058,Nation-state,Unpatched Software,AI-based Detection,8
India,2020,Phishing,IT,40.98,613188,Nation-state,Social Engineering,AI-based Detection,66
Germany,2023,SQL Injection,Banking,6.27,37817,Nation-state,Weak Passwords,Firewall,17
China,2022,Phishing,Banking,46.92,631086,Nation-state,Weak Passwords,VPN,51
Brazil,2015,Malware,Government,3.91,150564,Nation-state,Unpatched Software,VPN,3
Japan,2022,SQL Injection,Government,16.05,527506,Insider,Unpatched Software,Encryption,47
Russia,2016,Ransomware,Education,18.16,355311,Hacker Group,Zero-day,VPN,12
France,2021,Phishing,Banking,5.22,249024,Nation-state,Social Engineering,Firewall,4
